Nr dokumentu,Zakład,Data księgowania,Materiał,Ilość rzeczywista [l],Ilość w 15°C [l],Status
4500011209,ST0412,2026/08/24,Benzyna bezołowiowa 98,20000,19997,UTW
4500011211,ST0412,2026/08/24,Olej napędowy,20000,19727,UTW
4500011218,ST0412,2026/08/24,Gaz LPG,24000,23932,UTW
4500011221,ST0412,2026/08/25,Benzyna bezołowiowa 95,7200,7217,UTW
4500011222,ST0412,2026/08/25,Benzyna bezołowiowa 95,4800,4811,UTW
4500011227,ST0412,2026/08/25,Benzyna bezołowiowa 98,10000,9981,UTW
4500011236,ST0412,2026/08/25,Olej napędowy,20000,19769,UTW
4500011244,ST0412,2026/08/25,Gaz LPG,10000,9962,UTW
4500011249,ST0412,2026/08/26,Benzyna bezołowiowa 98,12000,11916,STO
4500011254,ST0417,2026/08/24,Benzyna bezołowiowa 95,18000,17927,UTW
4500011258,ST0523,2026/08/24,Gaz LPG,15000,14897,UTW
4500011267,ST0417,2026/08/25,Benzyna bezołowiowa 98,18000,18055,UTW
4500011269,ST0417,2026/08/26,Gaz LPG,24000,23748,UTW
4500011272,ST0417,2026/08/26,Benzyna bezołowiowa 95,18000,17767,UTW
4500011281,ST0417,2026/08/26,Gaz LPG,24000,24227,UTW
4500011289,ST0523,2026/08/24,Benzyna bezołowiowa 95,10000,9999,UTW
4500011297,ST0523,2026/08/24,Benzyna bezołowiowa 98,12000,12114,UTW
4500011305,ST0523,2026/08/25,Benzyna bezołowiowa 98,24000,23917,UTW
4500011314,ST0523,2026/08/26,Benzyna bezołowiowa 98,12000,11882,UTW
4500011316,ST0523,2026/08/26,Olej napędowy,15000,14846,UTW
4500011325,ST0688,2026/08/26,Gaz LPG,15000,14812,UTW
4500011329,ST0701,2026/08/24,Benzyna bezołowiowa 95,18000,17909,UTW
4500011333,ST0701,2026/08/25,Olej napędowy,18000,18161,UTW
4500011340,ST0701,2026/08/26,Benzyna bezołowiowa 95,10000,9953,UTW
4500011349,ST0745,2026/08/24,Benzyna bezołowiowa 95,24000,23776,UTW
4500011354,ST0745,2026/08/24,Gaz LPG,10000,9941,UTW
4500011355,ST0745,2026/08/25,Olej napędowy,12000,11981,UTW
4500011361,ST0902,2026/08/24,Benzyna bezołowiowa 95,18000,17791,UTW
4500011370,ST0902,2026/08/24,Benzyna bezołowiowa 98,15000,14989,UTW
4500011374,ST0902,2026/08/25,Olej napędowy,24000,23700,UTW
4500011378,ST0902,2026/08/26,Olej napędowy,30000,29861,UTW
4500011386,ST1133,2026/08/25,Benzyna bezołowiowa 95,30000,29900,UTW
4500011391,ST1133,2026/08/26,Benzyna bezołowiowa 95,15000,15119,UTW
4500011392,ST1210,2026/08/24,Gaz LPG,12000,11861,UTW
4500011399,ST1210,2026/08/25,Benzyna bezołowiowa 98,24000,24100,UTW
4500011407,ST1210,2026/08/26,Benzyna bezołowiowa 95,10000,10111,UTW
4500011415,ST1377,2026/08/24,Benzyna bezołowiowa 95,10000,9850,UTW
4500011422,ST1377,2026/08/24,Benzyna bezołowiowa 98,24000,24243,UTW
4500011431,ST1377,2026/08/25,Olej napędowy,20000,20162,UTW
4500011439,ST1377,2026/08/25,Gaz LPG,24000,23801,UTW
4500011441,ST1377,2026/08/26,Gaz LPG,30000,29731,UTW
4500011444,ST1402,2026/08/24,Benzyna bezołowiowa 95,20000,19982,UTW
4500011446,ST1402,2026/08/24,Benzyna bezołowiowa 98,15000,15156,UTW
4500011454,ST1402,2026/08/25,Benzyna bezołowiowa 95,20000,19746,UTW
4500011455,ST1402,2026/08/25,Benzyna bezołowiowa 98,20000,19701,UTW
4500011458,ST1519,2026/08/24,Benzyna bezołowiowa 95,15000,14869,UTW
4500011459,ST1519,2026/08/25,Benzyna bezołowiowa 95,30000,30073,UTW
4500011464,ST1519,2026/08/26,Olej napędowy,30000,30330,UTW
4500011399,ST1402,2026/08/26,Olej napędowy,18000,17910,UTW
