Kod stacji;Data;Produkt;Sprzeda¿ [l];Stan pocz. [l];Stan konc. [l];Przyjêto dostawê [l]
0412;2026-08-24;PB95;3928,75;11318,7;7355,7;0
0412;2026-08-24;PB98;5519,12;16045,2;30503,3;20000,0
0412;2026-08-24;ON;2144,6;17199,8;35049,2;20000,0
0412;2026-08-24;LPG;1292,22;10723,6;33438,0;24000,0
0412;2026-08-25;PB95;1963,97;20881,9;30881,7;12000,0
0412;2026-08-25;PB98;7938,51;14371,4;16438,6;10000,0
0412;2026-08-25;ON;5701,93;23004,1;37313,3;20000,0
0412;2026-08-25;LPG;746,88;20050,4;29313,0;10000,0
0412;2026-08-26;PB95;5223,11;19697,8;14471,9;0
0412;2026-08-26;PB98;8425,81;15954,8;19544,9;12000,0
0412;2026-08-26;ON;3330,72;20637,3;17336,6;0
0412;2026-08-26;LPG ;1175,33;14334,6;13128,7;0,0 l
0417;2026-08-24;Pb 95;4635,92;24657,1;n/d;18000,0
417;2026-08-24;PB98;8715,14;9707,7;1015,7;0
0417;24.08.2026;ON;7637,65;15482,7;7844,8;0
0417;2026-08-24;LPG;1256,27;9512,8;23254,5;15000,0
0417;2026-08-25;PB95;6481.14;9334,7;2865,3;0
0417;2026-08-25;PB98;8948,22;26082,3;35165,0;18000,0
0417;2026-08-25;ON;4102,54;28694,3;24600,6;0
0417;2026-08-25;LPG;892,43;12800,6;35888,0;24000,0
0417;2026-08-26;PB95;4432,12;27171,3;40731,3;18000,0
0417;2026-08-26;PB98;3583,79;11012,4;7432,6;0
0417;2026-08-26;ON;6797,98;29702,3;22894,8;0
0417;2026-08-26;LPG;576,9;9825,7;33227,5;24000,0
0523;2026-08-24;PB95;5137,22;20960,7;25795,1;10000,0
0523;2026-08-24;PB98;5509,43;21415,9;27921,7;12000,0
0523;2026-08-24;ON;5366,19;21587,0;16185,1;0
0523;2026-08-25;PB95;8246,5;25159,3;16936,6;0
0523;2026-08-25;PB98;4442,84;16777,5;36326,7;24000,0
0523;2026-08-25;ON;2929,57;29662,7;26701,9;0
523;2026-08-26;PB95;6005,45;10252,4;4249,9;0
0523;2026-08-26;PB98;8617,12;21502,2;24894,2;12000,0
0523;2026-08-26;ON;2614,13;13549,7;25933,5;15000,0
0688;2026-08-24;PB95;2365,15;18737,5;16370,8;0
0688;2026-08-24;PB98;3838,89;11170,6;7350,9;0
0688;2026-08-24;ON;5089,66;23225,2;18112,0;0
0688;2026-08-24;LPG;1442,43;15958,6;14549,3;0
0688;25.08.2026;PB95;7186,07;14558,0;7339,2;0
0688;2026-08-25;PB98;7840,86;19404,7;11552,3;0
0688;2026-08-25;ON;3170,95;19914,5;16754,5;0
0688;2026-08-25;LPG;1035,87;25344,8;24284,5;0
0688;2026-08-26;PB95;3295,41;16815,1;13495,7;0
0688;2026-08-26;PB98 ;5195,86;24082,1;18909,4;0
0688;2026-08-26;Diesel;5041,8;12260,2;7205,9;0
0688;2026-08-26;LPG;1270,28;23908,8;37605,0;15000,0
0701;2026-08-24;PB95;2266.18;18341,8;34085,5;18000,0
0701;2026-08-24;PB98;8252,31;26489,6;18249,5;0
701;2026-08-24;ON;7497,33;9865,1;2400,6;0
0701;2026-08-24;LPG;1238,76;24503,1;23238,6;0
0701;2026-08-25;PB95;7418,52;15315,4;n/d;0
0701;2026-08-25;PB98;4468,79;16830,5;12379,7;0
0701;2026-08-25;ON;2775,03;10794,8;26044,3;18000,0
0701;2026-08-25;LPG;475,41;26183,2;25720,4;0,0 l
0701;2026-08-26;PB95;4128,06;20070,5;25966,4;10000,0
0701;2026-08-26;PB98;6947,78;10261,0;3284,4;0
0701;2026-08-26;ON;8899,12;12285,7;3348,8;0
0701;2026-08-26;LPG;555,34;19025,6;18456,3;0
0745;2026-08-24;PB95;5582,65;26352,3;44758,0;24000,0
0745;2026-08-24;PB98;4936,21;20833,7;15891,1;0
0745;2026-08-24;ON;8382,91;19036,3;10655,3;0
0745;24.08.2026;LPG;322,45;17682,7;27382,3;10000,0
0745;2026-08-25;PB95;2623,52;11114,3;8460,4;0
0745;2026-08-25;PB98;1963,16;23011,3;21046,7;0
0745;2026-08-25;ON;7323,68;27431,0;32089,5;12000,0
745;2026-08-25;LPG;1226,71;19169,7;17963,8;0
0745;2026-08-26;PB95;8343,66;17751,5;9408,3;0
0745;2026-08-26;PB98;5341,21;23240,1;17901,6;0
0745;2026-08-26;ON;5085,27;28713,0;23657,9;0
0745;2026-08-26;LPG;1430,62;13711,0;12315,8;0
0902;2026-08-24;PB95;7800,0;11017,0;21202,3;18000,0
0902;2026-08-24;PB98;6533,67;17423,5;25912,5;15000,0
0902;2026-08-24;ON;8227,7;11397,8;3182,9;0
0902;2026-08-24;LPG;471,57;27422,3;26928,3;0
0902;2026-08-25;PB95 ;8643,78;16761,7;8157,1;0
0902;2026-08-25;PB98;7743.34;11552,3;3810,2;0
0902;2026-08-25;ON;4043,37;12306,4;32252,3;24000,0
0902;2026-08-25;LPG;705,58;18090,8;17376,0;0
0902;2026-08-26;PB95;5380,75;14500,0;9088,3;0
0902;2026-08-26;PB98;8389,11;13028,2;4605,8;0
0902;2026-08-26;ON;3539,4;27929,8;54360,8;30000,0
0902;2026-08-26;LPG;806,71;28051,1;27225,1;0
1133;2026-08-24;PB95;2620,26;28221,8;25617,6;0
1133;2026-08-24;PB98;2170,97;9265,6;7088,7;0
1133;24.08.2026;ON;2043,11;28643,7;26624,7;0
1133;2026-08-25;PB95;2128,07;26837,0;54678,7;30000,0
1133;2026-08-25;PB98;1586,6;29874,7;28321,3;0
1133;2026-08-25;ON;6162,78;8950,5;n/d;0
1133;2026-08-26;PB95;8769,1;13761,7;20002,9;15000,0
1133;2026-08-26;PB98;5483,14;12529,2;7059,8;0
1133;2026-08-26;ON;3528,92;25680,9;22114,9;0
1210;2026-08-24;PB95;1638,25;19124,4;17487,3;0
1210;2026-08-24;PB98;3342,6;17835,2;14504,6;0
1210;2026-08-24;ON;6423,82;20009,9;13623,7;0
1210;2026-08-24;LPG;669,34;12734,0;24091,2;12000,0 l
1210;2026-08-25;PB95;6800,44;21991,5;15178,9;0
1210;2026-08-25;PB98;1907,91;10856,0;32978,5;24000,0
1210;2026-08-25;ON;4730,56;9218,8;4478,7;0
1210;2026-08-25;LPG;907,13;29360,5;28468,8;0
1210;2026-08-26;PB95;1839,28;12077,7;20219,5;10000,0
1210;2026-08-26;PB98;8713,4;29397,7;20663,9;0
1210;2026-08-26;ON;8742,5;14810,1;6027,7;0
1210;2026-08-26;LPG;757,95;18442,2;17660,3;0
1377;2026-08-24;PB95;5285,52;8108,9;12794,9;10000,0
1377;2026-08-24;PB98;5901.01;16667,5;34745,1;24000,0
1377;2026-08-24;ON ;5891,87;19642,2;13762,9;0
1377;2026-08-24;LPG;1159,19;27340,0;26166,9;0
1377;25.08.2026;PB95;8885,47;11288,2;2414,2;0
1377;2026-08-25;PB98;1828,41;26376,4;24558,2;0
1377;2026-08-25;ON;7003,89;25868,8;38885,1;20000,0
1377;2026-08-25;LPG;982,18;25883,9;48908,4;24000,0
1377;2026-08-26;PB95;8196,22;23023,7;14805,9;0
1377;2026-08-26;PB98;1733,7;10928,1;9162,8;0
1377;2026-08-26;ON;7768,66;20287,6;12529,0;0
1377;2026-08-26;LPG;1116,8;18764,5;47613,3;30000,0
1402;2026-08-24;PB95;8493,78;27752,9;39224,4;20000,0
